filename,algo2_topics,algo3_topics,algo2_avg_duration,algo3_avg_duration,algo2_avg_sentences,algo3_avg_sentences,duration
audio_001_16k_mono_clean_norm_trim_chunk_163_cleaned.json,1,1,24.86,24.86,8.0,8.0,0
audio_001_16k_mono_clean_norm_trim_chunk_164_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_165_cleaned.json,1,1,24.92,24.92,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_166_cleaned.json,1,1,24.48,24.48,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_167_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_168_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_169_cleaned.json,1,1,24.74,24.74,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_170_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_171_cleaned.json,1,1,24.88,24.88,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_172_cleaned.json,1,2,24.98,12.24,7.0,3.5,0
audio_001_16k_mono_clean_norm_trim_chunk_173_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_174_cleaned.json,1,1,24.76,24.76,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_175_cleaned.json,1,1,24.18,24.18,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_176_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_177_cleaned.json,1,1,24.9,24.9,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_178_cleaned.json,1,1,24.14,24.14,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_179_cleaned.json,1,1,24.98,24.98,7.0,7.0,0
audio_001_16k_mono_clean_norm_trim_chunk_180_cleaned.json,1,2,24.52,12.11,11.0,5.5,0
audio_001_16k_mono_clean_norm_trim_chunk_181_cleaned.json,1,2,24.86,11.739999999999998,11.0,5.5,0
audio_001_16k_mono_clean_norm_trim_chunk_182_cleaned.json,1,2,24.96,12.420000000000002,9.0,4.5,0
audio_001_16k_mono_clean_norm_trim_chunk_183_cleaned.json,1,2,24.98,12.26,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_184_cleaned.json,1,1,24.78,24.78,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_185_cleaned.json,1,1,24.28,24.28,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_186_cleaned.json,1,1,24.86,24.86,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_187_cleaned.json,1,1,24.0,24.0,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_188_cleaned.json,1,1,24.76,24.76,3.0,3.0,0
