audio_id,baseline_segments,embedding_segments,baseline_avg_words,embedding_avg_words,baseline_std_words,embedding_std_words
386s-y1aRRo,31,144,590.2258064516129,127.0625,899.7533966692752,126.62922795124267
-jA2ABHBc6Y,55,178,324.7818181818182,100.35393258426966,387.26137243276975,104.13249722789136
50r-5ULcWgY,40,188,499.825,106.34574468085107,517.5839491087412,139.46017746623417
2oHH4aClJQs,67,261,404.6119402985075,103.86590038314176,481.0100987311076,127.1696954568191
KdmDtqB46Jc,47,289,626.7021276595744,101.9204152249135,739.8963675247529,104.54722231578052
e4Bet29PVPY,64,241,436.828125,116.00414937759336,503.51112682242126,128.35219627975442
-DVyjdw4t9I,22,236,1220.1818181818182,113.7457627118644,1392.9507149267256,147.5802388154493
HYsLTNXMl1Q,12,73,716.8333333333334,117.83561643835617,820.6108327879232,131.45070576660214
_VPxEcT_Adc,24,80,425.4583333333333,127.6375,594.1136941673893,123.14688828285512
Z1KwkpTUbkg,59,249,435.93220338983053,103.29317269076306,484.4024403501483,118.91770294564967
I845O57ZSy4,88,375,671.2840909090909,157.528,1660.7607782200823,252.95837579069538
X0-SXS6zdEQ,53,253,562.6037735849056,117.85770750988142,547.7040014399266,153.17659958994443
aYwDs9LTN50,17,83,529.2352941176471,108.39759036144578,762.2181661912633,128.5927483723428
